id,created_at,text
1539309487097425920,2022-06-21 18:09:15+00:00,"b'En la direcci\xc3\xb3n 200, Prados Del Tepeyac, Cajeme, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/q7If4FClJ8'"
1539297632052514816,2022-06-21 17:22:08+00:00,"b'#CruzRojaMexicana est\xc3\xa1 atendiendo un #accidente de #tr\xc3\xa1nsito en Veracruz, San Benito, Hermosillo con una #ambulancia donada con tus aportaciones https://t.co/a8s5OyGSlT'"
1539292896339365899,2022-06-21 17:03:19+00:00,"b'Personal de #CruzRojaMexicana auxilian a un paciente en 29, Santa Cecilia, Caborca, debido a un #accidente de #tr\xc3\xa1nsito https://t.co/irqjwS00sa'"
1539278101821247493,2022-06-21 16:04:32+00:00,"b'Una #ambulancia de #CruzRojaMexicana labora atendiendo a un paciente herido por un #accidente de #tr\xc3\xa1nsito en Camino del Seri, Las Praderas, Hermosillo https://t.co/i3omJKOQ5L'"
1539259608778391553,2022-06-21 14:51:03+00:00,"b'Personal de #CruzRojaMexicana auxilian a un paciente en Venado Cola Blanca, Nuevo Hermosillo, Hermosillo, debido a un #accidente de #tr\xc3\xa1nsito https://t.co/mpOin46mx1'"
1539253415041196034,2022-06-21 14:26:26+00:00,"b'Nos reportan una #explosi\xc3\xb3n en Del Razo, Casa Blanca, Hermosillo, acude una #ambulancia de #CruzRojaMexicana a ayudar https://t.co/PwPPGIDG1B'"
1539253326889590786,2022-06-21 14:26:05+00:00,"b'Una #ambulancia de #CruzRojaMexicana est\xc3\xa1 atendiendo, una #explosi\xc3\xb3n en Del Razo, Casa Blanca, Hermosillo https://t.co/PwPPGIDG1B'"
1539247610904645632,2022-06-21 14:03:22+00:00,"b'Estamos atendiendo en #CruzRojaMexicana un #accidente de #tr\xc3\xa1nsito en Cjon. 20 de Noviembre, M\xc3\xa9xico, San Luis R\xc3\xado Colorado, extrema precacuciones al pasar por ese lugar https://t.co/OREnTW7JKq'"
1539222894697652224,2022-06-21 12:25:10+00:00,"b'Nos reportan un #incendio en Tepache, Lomas de Madrid, Hermosillo, acude una #ambulancia de #CruzRojaMexicana a ayudar https://t.co/dszLdcnIIG'"
1539160486461177856,2022-06-21 08:17:10+00:00,"b'En la direcci\xc3\xb3n 16 de Septiembre, Bur\xc3\xb3crata, San Luis R\xc3\xado Colorado, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/7Mfb8hHNwS'"
1539115911105347587,2022-06-21 05:20:03+00:00,"b'Estamos atendiendo en #CruzRojaMexicana un #accidente de #tr\xc3\xa1nsito en Paseo las Plazas, Las Plazas, Guaymas, extrema precacuciones al pasar por ese lugar https://t.co/SMW2wzyRAv'"
1539111523234217987,2022-06-21 05:02:37+00:00,"b'Un #accidente de #tr\xc3\xa1nsito en 31, Valles Duarte, Agua Prieta fue reportado a #CruzRojaMexicana, te recomendamos tener cuidado al transitar en esa zona https://t.co/o40TZH0bwD'"
1539102526456438784,2022-06-21 04:26:52+00:00,"b'Voluntarios a bordo de un veh\xc3\xadculo de #CruzRojaMexicana ayudan a los a afectados de un #incendio en Calle 41, Santa Cecilia, Caborca https://t.co/irqjwS00sa'"
1539098696624783361,2022-06-21 04:11:39+00:00,"b'Estamos atendiendo en #CruzRojaMexicana un #accidente de #tr\xc3\xa1nsito en 26, Mayocahui (El Cerro), Etchojoa, extrema precacuciones al pasar por ese lugar https://t.co/kDXibDWuPL'"
1539094946111684608,2022-06-21 03:56:44+00:00,"b'Al transitar por Turqueza, Valle Verde, Cajeme encontrar\xc3\xa1s un #accidente de #tr\xc3\xa1nsito atendido por #CruzRojaMexicana, ten cuidado y disminuye tu velocidad  https://t.co/i3UmAx88WS'"
1539093168871833602,2022-06-21 03:49:41+00:00,"b'En la direcci\xc3\xb3n Choque Entre 5 Vehiculos, Girasoles, Hermosillo, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/ZH2OQ1lQeF'"
1539087879326126081,2022-06-21 03:28:39+00:00,"b'Una #ambulancia de #CruzRojaMexicana labora atendiendo a un paciente herido por un #accidente de #tr\xc3\xa1nsito en Arizona, El Cortijo UNISON, Hermosillo https://t.co/AbsW0CfmvM'"
1539061075982835713,2022-06-21 01:42:09+00:00,"b'Veh\xc3\xadculos de #emergencia y #CruzRojaMexicana acuden a Solidaridad, El Sahuaro, Hermosillo a auxiliar por un #accidente de #tr\xc3\xa1nsito https://t.co/qyjK2xgQWe'"
